p+n->D+γ,D+p->He3+γ,D+D->n+He3,D+D->p+T,He3+n->p+T,T+D->n+He4,He3+D->p+He4,He3+He4->Be7+γ,T+He4->Li7+γ,Be7+n->p+Li7,Li7+p->He4+He4
2.4773262987653862e+17,2.895556575635028e+16,2208116962.11618,1729515488.4483237,8030553255.987769,247144858.5901648,297329897.3401064,5.697951914850373e+16,4.43774895525072e+16,8019234239.66761,21388555.60526049
2.432392737605353e+17,2.837158132671994e+16,2140505917.8708386,1674958280.1379719,7809089836.435705,236729427.15903577,284061824.6781348,5.594789873115364e+16,4.364733456168256e+16,7789503723.562919,20371808.541889083
2.3880657275358752e+17,2.7797647811000504e+16,2074888363.017828,1622048083.1692584,7593668246.687161,226707720.9714315,271329033.42934614,5.493108564372271e+16,4.2927995191431e+16,7566213709.229075,19399587.96942773
2.3443522064332954e+17,2.7233617176403264e+16,2011207291.9332836,1570736972.4371307,7384124910.512746,217066592.47301695,259112249.5228354,5.3928962747141416e+16,4.221932235010675e+16,7349186525.298798,18470108.500088975
2.3012577144939277e+17,2.6679343359559204e+16,1949407292.1024117,1520978378.3155706,7180300657.236102,207793275.80743006,247392810.24670437,5.294141092367679e+16,4.15211689530782e+16,7138249346.229498,17581650.00363625
2.2587864975918314e+17,2.6134682240025468e+16,1889434500.3057458,1472727049.0853481,6982040603.497572,198875377.27213573,236152647.30512068,5.196830920754756e+16,4.083338989562068e+16,6933234061.157121,16732555.432802651
2.2169416045234906e+17,2.559949161416134e+16,1831236559.9975913,1425939014.3893557,6789194038.183616,190300865.98374602,225374270.29013237,5.100953491109561e+16,4.015584202617312e+16,6733977146.281026,15921228.715394953
2.175724978460019e+17,2.5073631169368724e+16,1774762579.8444233,1380571549.6876366,6601614310.43735,182058064.74841744,215040750.5587656,5.006496374664175e+16,3.948838411995368e+16,6540319540.685097,15146132.711157825
2.1351375429122182e+17,2.4556962458692652e+16,1719963093.3919194,1336583141.6850398,6419158720.667888,174135641.13304302,205135705.50616294,4.913446994414822e+16,3.883087685292951e+16,6352106525.50297,14405787.231527602
2.0951792824985843e+17,2.4049348875777148e+16,1666790019.830099,1293933454.7050855,6241688414.478245,166522598.7330402,195643283.22571853,4.821792636480902e+16,3.818318277613584e+16,6169187606.337527,13698767.120456675
2.0558493187923792e+17,2.3550655630171624e+16,1615196625.8268905,1252583297.9843938,6069068279.433794,159208268.63263774,186548147.54738817,4.731520461068511e+16,3.7545166290339864e+16,5991416398.847386,13023700.394540958
2.0171459815109642e+17,2.306074972298386e+16,1565137488.401265,1212494593.8627167,5901166844.595394,152182301.0536538,177835463.44555533,4.642617513049866e+16,3.691669362104489e+16,5818650517.41542,12379266.440732935
1.9790668752965814e+17,2.257949992287452e+16,1516568458.8078005,1173630346.8442464,5737856182.7431755,145434657.18883982,169490882.80802584,4.555070732169668e+16,3.629763279382985e+16,5650751466.8164835,11764194.269969821
1.941608942327004e+17,2.210677674238912e+16,1469446627.4053419,1135954613.506574,5579011815.2191,138955601.21596065,161500530.55792806,4.468866962889293e+16,3.568785361002008e+16,5487584536.803938,11177260.825094374
1.9047685209812746e+17,2.1642452414623204e+16,1423730289.483139,1099432473.2342896,5424512619.318267,132735692.48885894,153850991.12048128,4.383992963879267e+16,3.5087227622684868e+16,5329018699.536564,10617289.341490928
1.8685414007757974e+17,2.1186400870216184e+16,1379378912.0185688,1064029999.7548323,5274240738.160802,126765777.90184057,146529295.2267817,4.300435417170246e+16,3.449562811295716e+16,5174926509.769644,10083147.758903474
1.832922873774673e+17,2.0738497714669816e+16,1336353101.3412256,1029714233.4548093,5128081492.977991,121036984.42379192,139522907.04693395,4.218180936972482e+16,3.3912930066671468e+16,5025184007.73596,9573747.182945803
1.797907782668342e+17,2.0298620205987116e+16,1294614571.67888,996453154.4555993,4985923297.748156,115540711.79852892,132819711.6450408,4.137216078173451e+16,3.3339010151315544e+16,4879670624.644566,9088040.394855795
1.7634905657047667e+17,1.9866647232627492e+16,1254126114.5614157,964215656.4275966,4847657576.119314,110268625.40794306,126408002.74872413,4.057527344523057e+16,3.277374669329158e+16,4738269090.726901,8625020.408085993
1.7296652986483533e+17,1.94424592917742e+16,1214851569.0595481,932971521.1230556,4713178680.5576315,105212649.29459779,120276470.82603225,3.979101196515583e+16,3.2217019655483068e+16,4600865345.762022,8183719.070363115
1.6964257339327654e+17,1.902593846790996e+16,1176755792.8357186,902691393.6079911,4582383813.662005,100364959.3404938,114414191.46274313,3.901924058977335e+16,3.1668710615122996e+16,4467348452.014226,7763205.709886686
1.663765337165563e+17,1.8616968411696864e+16,1139804633.985169,873346758.1741458,4455172951.586901,95717976.59879585,108810614.03323634,3.8259823283685976e+16,3.112870274195932e+16,4337610509.518335,7362585.8243749365
1.6316773211346285e+17,1.8215434319156624e+16,1103964903.6458216,844909914.9125408,4331448769.517083,91264360.77538987,103455550.65826735,3.751262379808446e+16,3.059688077671419e+16,4211546573.6496124,6980999.811702432
1.600154677458536e+17,1.7821222911147376e+16,1069204349.356133,817353956.9306198,4211116569.1393037,86997003.85719869,98339165.4431231,3.677750573830525e+16,3.007313100983243e+16,4089054574.916884,6617621.740908874
1.5691902060160058e+17,1.743422241313301e+16,1035491629.1406537,790652748.1954895,4094084208.0575686,82909023.88426128,93451963.98979321,3.605433262877842e+16,2.955734126051584e+16,3970035240.919181,6271658.162393267
1.538776542282479e+17,1.7054322535241578e+16,1002796286.3036137,764780901.9862314,3980262031.1000104,78993758.86264056,88784783.17693366,3.534296797544376e+16,2.9049400856039324e+16,3854392020.407797,5942346.956140883
1.5089061826953485e+17,1.6681414452608758e+16,971088724.9113107,739713759.938709,3869562803.466712,75244760.81528975,84328781.2015405,3.4643275325710204e+16,2.8549200611345212e+16,3742031009.397118,5628956.216862772
1.4795715081631437e+17,1.6315390786002938e+16,940340185.9446759,715427371.6667645,3761901645.669323,71655789.96807422,80075427.87639391,3.3955118326031984e+16,2.805663280891195e+16,3632860879.269292,5330783.174959451
1.4507648058277987e+17,1.5956145582728064e+16,910522724.1038265,691898474.9441055,3657195970.2144403,68220809.06820013,76016495.17746207,3.3278360777174228e+16,2.757159117889365e+16,3526792806.8190517,5047153.152250707
1.4224782891838053e+17,1.5603574297800886e+16,881609185.2469467,669104476.4316322,3555365419.984179,64933977.83236766,72144048.03559037,3.2612866687235976e+16,2.709397087952667e+16,3423740406.1866164,4777418.551443534
1.3947041166521694e+17,1.5257573775398866e+16,853573184.4463015,647023432.9353527,3456331808.2685013,61789647.52202062,68450435.36692815,3.1958500322500116e+16,2.6623668477800024e+16,3323619662.627922,4520957.87833912
1.3674344087023773e+17,1.4918042230575434e+16,826389084.6446475,625634033.1804423,3360019060.4051175,58782355.64312375,64928281.336670674,3.131512625617451e+16,2.616058193038583e+16,3226348868.072782,4277174.795807944
1.340661263610343e+17,1.4584879231238874e+16,800031975.8957542,604915580.0873823,3266353156.983928,55906820.767951794,61570476.85081418,3.0682609415089428e+16,2.5704610564826376e+16,3131848558.422925,4045497.20858938
1.3143767719358338e+17,1.4257985680391714e+16,774477655.1732068,584847973.5365136,3175262078.574191,53157937.476432875,58370171.27074485,3.006081512441343e+16,2.525565506097454e+16,3040041452.543152,3825376.377999046
1.2885730297982768e+17,1.3937263798627026e+16,749702606.7320596,565411693.6076913,3086675751.9336257,50530771.41463709,55320764.345594876,2.9449609150447748e+16,2.481361743268409e+16,2950852392.9000745,3616286.06565269
1.2632421510258376e+17,1.3622617106878382e+16,725683983.0083555,546587784.2820951,3000525997.659843,48020554.46805625,52415898.35741346,2.884885774155891e+16,2.4378401009746576e+16,2864208287.804167,3417721.705340832
1.2383762782483563e+17,1.3313950409420114e+16,702399586.0419039,528357837.59359926,2916746479.2454724,45622680.04736906,49649450.47431124,2.825842766730632e+16,2.394991042007158e+16,2780038055.2119927,3229199.6022126502
1.2139675930011006e+17,1.3011169777114718e+16,679827849.4081197,510703978.21744573,2835272653.4994383,43332698.48443558,47015525.306842715,2.76781862558207e+16,2.3528051572106956e+16,2698272568.046665,3050256.1584514272
1.1900083249026989e+17,1.2714182530903984e+16,657947820.6451102,493608848.48429763,2756041722.297836,41146312.53631356,44508447.662998065,2.7108001429487812e+16,2.311273163749612e+16,2618844600.995721,2880447.124646988
1.1664907599668707e+17,1.2422897225540864e+16,636739144.1625539,477055593.808068,2678992585.6288033,39059372.995134056,42122755.49727608,2.6547741738989696e+16,2.2703859033968976e+16,2541688778.746649,2719346.876092933
1.1434072481046877e+17,1.213722363355878e+16,616182044.6193005,461027848.5162433,2604065795.896789,37067874.40172121,39853193.049411036,2.5997276395755284e+16,2.230134340846368e+16,2466741525.621449,2566547.7132584224
1.120750209870629e+17,1.1857072729475312e+16,596257310.7569487,445509722.071709,2531203513.4524775,35167950.86088333,37694704.168421894,2.545647530286959e+16,2.1905095620475924e+16,2393941016.5725284,2421659.1857052683
1.0985121425029368e+17,1.1582356674227146e+16,576946279.6770281,430485785.6754021,2460349463.315589,33355871.95634722,35642425.817748256,2.4925209084490228e+16,2.151502772563282e+16,2323227129.503365,2284307.4387419526
1.0766856253058315e+17,1.1312988799833202e+16,558230821.5497215,415941059.23938763,2391448893.0586166,31628038.763348572,33691681.75732914,2.44033491138185e+16,2.1131052959488504e+16,2254541398.878267,2154134.58212602
1.0552633244186067e+17,1.1048883594283038e+16,540093324.7424141,401860998.72025245,2324448531.8204427,29980979.956933346,31837976.398570843,2.3890767539670476e+16,2.0753085721538416e+16,2187826970.5865684,2030798.0801459237
1.0342379970138936e+17,1.0789956686647368e+16,522516681.3566437,388231483.8029663,2259296550.4195557,28411348.014062885,30076988.82823641,2.3387337311692696e+16,2.038104155944941e+16,2123028558.027469,1913970.162432188
1.0136024949651848e+17,1.0536124832407868e+16,505484273.16236424,375038805.9256469,2195942522.53748,26915915.50765723,28404566.99737773,2.2892932204266092e+16,2.001483715350283e+16,2060092399.3827133,1803337.2548663183
9.933497680212122e+16,1.0287305899003238e+16,488979957.9187082,362269656.63590455,2134337386.9437134,25491571.4907455,26816722.071510553,2.240742683913947e+16,1.9654390301247756e+16,1998966216.0450952,1698599.4299736097
9.734728665227754e+16,1.0043418851588728e+16,472988056.0707498,349911116.2697142,2074433410.734357,24135317.968932644,25309622.938317876,2.193069670683432e+16,1.9299619902361652e+16,1939599172.1717303,1599469.8762035482
9.539649436953946e+16,9804383739006138.0,457493337.8120277,337950642.94398844,2016184153.557226,22844266.45942395,23879590.8692426,2.146261818685974e+16,1.895044594371563e+16,1881941835.331757,1505674.3855182468
9.348192575493296e+16,9570121679961528.0,442481010.5028894,326376061.85428256,1959544432.7970886,21615634.634886753,22523094.331410624,2.1003068566777024e+16,1.8606789484641716e+16,1825946138.219063,1416950.858725931
9.16029172416617e+16,9340554849407838.0,427936706.4349686,315175554.8692806,1904470289.6952994,20446743.050460506,21236743.94639843,2.055192606015056e+16,1.8268572642399384e+16,1771565341.4013197,1333048.828012352
8.97588160152938e+16,9115606465129508.0,413846470.9323759,304337650.41394556,1850918956.3788056,19335011.95226037,20017287.592433624,2.0109069823422276e+16,1.7935718577838746e+16,1718753997.0774422,1253728.9961385627
8.794898010305683e+16,8895200774526526.0,400196750.7804431,293851213.63343865,1798848823.7741995,18277958.165751737,18861605.64668844,1.967437997174448e+16,1.7608151481257876e+16,1667467913.8163235,1178762.7917886297
8.617277843470494e+16,8679263041594961.0,386974382.9730909,283705436.83011353,1748219410.383078,17273192.062403023,17766706.36439462,1.9247737593805932e+16,1.7285796558451592e+16,1617664122.2503855,1107931.940565405
