p,n,D,T,He3,He4,Be7,Li7,T9,Tnu9,time
0.7579773517058661,1.0173076643563861e-10,1.9189866763486362e-05,6.385408619699663e-08,7.71769851584142e-06,0.06049017540607548,2.80787300184541e-10,4.031245056773036e-11,0.06247782682228698,0.04460144764947071,45533.99748271177
0.7579773517417859,9.63785143773763e-11,1.9189534989633637e-05,6.38545517194158e-08,7.717838469820939e-06,0.060490175459005945,2.8078682809820823e-10,4.0312854142793424e-11,0.06191784698000125,0.04420169124162529,46333.51734754439
0.757977351776352,9.129310817460879e-11,1.9189214893938238e-05,6.38551982072669e-08,7.717973774382012e-06,0.060490175509720426,2.80786384190913e-10,4.0313234423079625e-11,0.06136288615709753,0.04380551779339296,47147.63730204498
0.7579773518096197,8.645917474007053e-11,1.9188905890802046e-05,6.385600925378927e-08,7.718104653364994e-06,0.06049017555834611,2.807859663683517e-10,4.0313593081810845e-11,0.060812899368821616,0.04341289519121822,47976.920713998625
0.7579773518416292,8.186689268140701e-11,1.9188607567986657e-05,6.385697275512526e-08,7.718231263739715e-06,0.060490175604972864,2.8078557318316996e-10,4.031393126991717e-11,0.06026784203361125,0.04302379160937479,48821.93119080948
0.7579773518724426,7.750385540052102e-11,1.918831926940461e-05,6.385807124054477e-08,7.718353857798182e-06,0.0604901756497402,2.807852024471307e-10,4.031425074850942e-11,0.059727669969482346,0.04263817550738583,49683.23036606634
0.7579773519020844,7.336244936827223e-11,1.918804076116364e-05,6.385929732470849e-08,7.718472524188615e-06,0.06049017569269992,2.807848533012966e-10,4.0314552210554074e-11,0.05919233939044764,0.04225601562746729,50561.37586003648
0.7579773519305851,6.943349765056417e-11,1.9187771755094002e-05,6.386064227052442e-08,7.71858737253831e-06,0.060490175733915096,2.807845247187548e-10,4.0314836486028846e-11,0.05866180690296743,0.04187728099199415,51456.91940466526
0.7579773519579827,6.570600551156345e-11,1.9187511898636765e-05,6.386209581152479e-08,7.718698537458023e-06,0.060490175773462024,2.8078421547842e-10,4.031510456349406e-11,0.05813602950243208,0.041501940900989465,52370.405124092635
0.7579773519843138,6.216871054840819e-11,1.9187260858916788e-05,6.386364780588006e-08,7.718806145436636e-06,0.06049017581141345,2.8078392441362577e-10,4.031535738443809e-11,0.05761496456967617,0.04112996492963578,53302.36796211364
0.7579773520096243,5.881242180365564e-11,1.91870182217423e-05,6.386528681002131e-08,7.71891035534368e-06,0.060490175847856834,2.8078365023309274e-10,4.031559599049752e-11,0.05709856986752376,0.04076132292580893,54253.33224840791
0.7579773520339599,5.5627650891972565e-11,1.918678355083766e-05,6.386700144657364e-08,7.719011335454773e-06,0.060490175882883586,2.807833915553952e-10,4.0315821511286625e-11,0.05658680353736468,0.04039598500763394,55223.81039574444
0.7579773520573347,5.260911507693073e-11,1.9186556732122e-05,6.386878656161803e-08,7.719109127037181e-06,0.06049017591652138,2.8078314789591645e-10,4.0316034339714076e-11,0.05607962409576151,0.04003392156106281,56214.301720732794
0.7579773520797698,4.9750059951489895e-11,1.918633759869631e-05,6.3870636032091e-08,7.719203792211009e-06,0.06049017594880812,2.8078291863645135e-10,4.0316234979496403e-11,0.05557699043108698,0.03967510323747403,57225.29138104197
0.7579773521012937,4.7042055392062934e-11,1.9186125922261878e-05,6.3872542665515e-08,7.719295417412677e-06,0.06049017597979352,2.8078270300689016e-10,4.0316424060482955e-11,0.05507886180019142,0.03931950095129359,58257.24942234208
0.7579773521219434,4.447477990585092e-11,1.918592140400907e-05,6.387449809522474e-08,7.719384117074431e-06,0.06049017600954076,2.807825000658685e-10,4.031660235484992e-11,0.05458519782510024,0.038967085877637336,59310.62992854487
0.7579773521417458,4.204058228676547e-11,1.9185723829254052e-05,6.387649534290148e-08,7.719469972132571e-06,0.060490176038096866,2.807823090860144e-10,4.0316770457852934e-11,0.05409595848974084,0.03861782944997443,60385.87026922555
0.757977352160743,3.9733561147295776e-11,1.918553282681999e-05,6.387852579167477e-08,7.719553126896037e-06,0.06049017606553664,2.807821290582206e-10,4.031692920146259e-11,0.053611104136699,0.03827170335781177,61483.39043840181
0.7579773521789508,3.754916819463577e-11,1.918534828462936e-05,6.388058469658015e-08,7.719633622096214e-06,0.06049017609188634,2.80781959557111e-10,4.0317078934779216e-11,0.053130595464004206,0.03792867954439915,62603.59247912685
0.757977352196385,3.5482350320100036e-11,1.9185170094400015e-05,6.388266750828987e-08,7.719711497084517e-06,0.060490176117171286,2.807818001754725e-10,4.0317219993082205e-11,0.05265439352194391,0.03758873020445505,63746.85998862152
0.7579773522130684,3.3526687342496595e-11,1.918499809238227e-05,6.388476905553787e-08,7.719786813600826e-06,0.06049017614142681,2.8078165039287537e-10,4.031735280711321e-11,0.05218245970990629,0.037251827781912675,64913.557698928314
0.757977352229032,3.167424603540333e-11,1.9184832052558442e-05,6.388688350209714e-08,7.719859658563988e-06,0.060490176164699413,2.807815095635633e-10,4.0317477913355785e-11,0.051714755773251256,0.03691794496768634,66104.03112831531
0.7579773522442875,2.99205110143521e-11,1.9184671905735868e-05,6.388900681908677e-08,7.719930055522412e-06,0.06049017618700716,2.807813773721402e-10,4.031759557076409e-11,0.05125124380020965,0.03658705469745781,67318.60629889352
0.7579773522588901,2.8258873200574713e-11,1.918451718777407e-05,6.38911315554063e-08,7.719998188838281e-06,0.0604901762084374,2.8078125278288665e-10,4.031770664617622e-11,0.05079188621881005,0.03625913014948245,68557.58951613601
0.7579773522728475,2.6686640841053652e-11,1.918436785944445e-05,6.389325463674522e-08,7.720064070636906e-06,0.06049017622900164,2.8078113558421614e-10,4.0317811314456153e-11,0.05033664579383327,0.03593414474241508,69821.26720620203
0.7579773522861706,2.520046685404264e-11,1.918422385957088e-05,6.389537294048832e-08,7.720127722129577e-06,0.06049017624871498,2.8078102553140993e-10,4.031790977930366e-11,0.04988548562379406,0.03561207213315537,71109.9058071752
0.7579773522988761,2.3796044495840612e-11,1.9184085082590473e-05,6.38974831088531e-08,7.720189182764027e-06,0.06049017626760011,2.8078092230500733e-10,4.031800230839205e-11,0.049438369137949925,0.03529288621471241,72423.75171052085
0.7579773523109865,2.2468022186928352e-11,1.918395137405092e-05,6.389958154337137e-08,7.720248512101147e-06,0.06049017628568799,2.8078082550411984e-10,4.031808923912422e-11,0.048995260093336726,0.034976561114088506,73763.03124925614
0.7579773523225307,2.120991687044762e-11,1.918382252602024e-05,6.390166439955309e-08,7.72030579172861e-06,0.06049017630301861,2.807807346396302e-10,4.031817098448919e-11,0.04855612257183081,0.03466307119018197,75127.95072950516
0.7579773523335244,2.0019772148782117e-11,1.918369843481637e-05,6.390372861138433e-08,7.720361060565685e-06,0.06049017631961356,2.8078064944705746e-10,4.0318247762894506e-11,0.04812092097723756,0.034352391031708646,76518.69650228346
0.7579773523440007,1.8893759543937376e-11,1.9183578829956672e-05,6.390577089180996e-08,7.72041442696821e-06,0.060490176335521915,2.80780569385177e-10,4.0318320035552807e-11,0.04768962003240596,0.034044495455142085,77935.43507251973
0.7579773523539683,1.7829633443994938e-11,1.9183463665324386e-05,6.390778912980317e-08,7.720465906977234e-06,0.06049017635075465,2.8078049429023144e-10,4.031838794078637e-11,0.047262184776369065,0.03373935950267219,79378.31324247921
0.7579773523634404,1.6824562958387058e-11,1.9183352862927153e-05,6.390978122951542e-08,7.720515529961238e-06,0.0604901763653278,2.8078042395497105e-10,4.0318451654701855e-11,0.046838580561510086,0.03343695844018215,80847.45828690234
0.7579773523724339,1.5875043703524616e-11,1.9183246307687566e-05,6.391174510873212e-08,7.720563340793775e-06,0.060490176379263405,2.80780358120933e-10,4.0318511397885555e-11,0.046418773050753884,0.033137267755243546,82342.97815731524
0.7579773523809707,1.4976852209666993e-11,1.9183143844627835e-05,6.39136787088494e-08,7.720609401044639e-06,0.06049017639258988,2.807802964749598e-10,4.0318567438442123e-11,0.04600272821478359,0.03284026315512928,83864.96171310509
0.7579773523890595,1.4128002989699468e-11,1.9183045441332936e-05,6.391558008738894e-08,7.72065372118538e-06,0.060490176405315406,2.807802389116674e-10,4.031861986172489e-11,0.04559041232928231,0.03254592056484458,85413.47897708172
0.7579773523967415,1.3324851481869446e-11,1.9182950748679028e-05,6.391744773943857e-08,7.720696444572535e-06,0.06049017641749875,2.807801848799205e-10,4.031866914401099e-11,0.045181791972199306,0.032254216125175365,86988.5814133739
0.757977352404027,1.2565727910500994e-11,1.9182859701695246e-05,6.391928035108501e-08,7.720737596092611e-06,0.060490176429152574,2.807801342309468e-10,4.031871541339266e-11,0.04477683402104097,0.0319651261907543,88590.30222562377
0.7579773524109238,1.184906977708265e-11,1.918277225686283e-05,6.392107673157829e-08,7.720777191824756e-06,0.060490176440285856,2.8078008685595595e-10,4.031875876324437e-11,0.04437550565018585,0.0316786273281441,90218.65667355788
0.7579773524174431,1.1172927594682924e-11,1.918268834553484e-05,6.392283582720833e-08,7.720815258525542e-06,0.060490176450911384,2.8078004261799677e-10,4.031879931173878e-11,0.04397777432822386,0.03139469631393805,91873.64240612109
0.7579773524235989,1.0534943634689356e-11,1.918260787239317e-05,6.392455673401663e-08,7.720851834292029e-06,0.060490176461046014,2.807800013504045e-10,4.0318837203221045e-11,0.043583607815319295,0.031113310132877468,93555.23980945995
0.7579773524294083,9.93233107115205e-12,1.9182530713931e-05,6.392623871038016e-08,7.720886969214097e-06,0.060490176470710866,2.807799628552766e-10,4.031887260955758e-11,0.043192974160597496,0.0308344459759862,95263.41236814344
0.7579773524348922,9.361853592918253e-12,1.9182456716965595e-05,6.39278811894273e-08,7.720920726013824e-06,0.06049017647993155,2.8077992690198287e-10,4.031890573145499e-11,0.04280584169955494,0.030558081238721665,96998.10703809923
0.75797735244006,8.822356773568198e-12,1.9182385792713775e-05,6.392948471393077e-08,7.720953142680809e-06,0.06049017648872145,2.807798933936704e-10,4.03189366534443e-11,0.04242217905149251,0.030284193519142594,98761.31814247789
0.7579773524449752,8.31184476457953e-12,1.9182317188712802e-05,6.393106060278157e-08,7.720984552399381e-06,0.06049017649718309,2.807798617719008e-10,4.0318965875228594e-11,0.04204195511697183,0.030012760616093048,100564.48597423451
0.7579773524496383,7.829713514094098e-12,1.918225093269317e-05,6.39326072379668e-08,7.721014940693386e-06,0.06049017650531467,2.8077983200971833e-10,4.03189934189085e-11,0.041665139075294344,0.029743760527402963,102407.56235475207
0.7579773524540472,7.37539460294514e-12,1.918218710074991e-05,6.393412175424647e-08,7.721044270627001e-06,0.06049017651310866,2.807798040981598e-10,4.0319019289842457e-11,0.04129170038200303,0.029477171448104543,104288.70682801763
0.7579773524582046,6.947702123034905e-12,1.918212571865995e-05,6.393560206740889e-08,7.72107252752816e-06,0.06049017652056435,2.807797779921952e-10,4.031904352597287e-11,0.04092160876640644,0.029212971768664817,106206.43301750305
0.7579773524621178,6.544873893812595e-12,1.9182066766087064e-05,6.393704679878894e-08,7.72109971710889e-06,0.060490176527687296,2.8077975361333927e-10,4.031906619544862e-11,0.040554834229125064,0.02895114007323397,108159.58058673533
0.7579773524657982,6.164604079143301e-12,1.9182010180148093e-05,6.393845520853985e-08,7.721125863865835e-06,0.06049017653448887,2.8077973085176465e-10,4.031908739469576e-11,0.04019134703965951,0.02869165513790939,110147.28877021767
0.7579773524692579,5.804465516533339e-12,1.9181955884985143e-05,6.393982688439199e-08,7.721150998287568e-06,0.06049017654098198,2.807797095930969e-10,4.031910722442261e-11,0.0398311177339806,0.028434495929015275,112168.97140056103
0.757977352472503,5.464919467850219e-12,1.918190383767403e-05,6.394116140069815e-08,7.721175137176423e-06,0.060490176547174215,2.807796897728448e-10,4.0319125740950674e-11,0.03947411711214107,0.02817964160139765,114224.29336086358
