p+n->D+γ,D+p->He3+γ,D+D->n+He3,D+D->p+T,He3+n->p+T,T+D->n+He4,He3+D->p+He4,He3+He4->Be7+γ,T+He4->Li7+γ,Be7+n->p+Li7,Li7+p->He4+He4
75345.35549104778,5002.395934691533,83487364.31744048,72546416.01249264,742440770.3274539,73029893.12518193,83257283.86102635,5384.709444547544,7402.756807343788,837050311.9238542,16736953.573551262
73156.25091347405,4869.090620656498,81262568.54685539,70613177.84124061,722655990.9271368,71503140.67988148,81368859.39560878,5205.918288559781,7205.485972765436,814744349.7107664,16290942.325893067
71030.00901085748,4739.337665727377,79097059.78648175,68731457.16778125,703398442.1310158,70008230.4131475,79522955.06103209,5032.874436314612,7013.472069245071,793032803.3209144,15856816.516774422
68964.82001585535,4613.042405596828,76989258.13868292,66899881.13872352,684654074.143316,68544499.13826491,77718617.85022704,4865.400025037509,6826.575008542032,771899832.5871016,15434259.419543186
66958.92770334218,4490.112698599748,74937625.80739799,65117113.48487648,666409211.5713438,67111297.46992731,75954916.05643854,4703.322449467016,6644.6584355282,751330019.455555,15022962.747771991
65010.6277228631,4370.458858489141,72940665.9762064,63381853.54634232,648650543.4482785,65707989.5371499,74230938.79794781,4546.4742152562,6467.589628706886,731308356.7373185,14622626.430340564
63118.26598535149,4253.993589003425,70996921.71629061,61692835.32358966,631365113.5218484,64333952.702153414,72545795.55338946,4394.692796141249,6295.239403382773,711820237.1594095,14232958.392511854
61280.23710240841,4140.631920177406,69104974.9234995,60048826.55381404,614540310.8017924,62988577.28509364,70898615.70742665,4247.820494792752,6127.4820174122015,692851442.7077407,13853674.342842089
59494.982876484006,4030.291146350439,67263445.28373732,58448627.81191155,598163860.3592162,61671266.29451562,69288548.1065535,4105.704307266526,5964.19507946503,674388134.2540332,13484497.565769255
57760.99084034044,3922.8907658265816,65470989.26592315,56891071.635410264,582223814.3711308,60381435.16341321,67714760.62479961,3968.1957909722087,5805.259459731179,656416841.459158,13125158.719728796
56076.792844213865,3818.3524221426965,63726299.14178636,55375021.67272059,566708543.4036388,59118511.49077782,66176439.739115916,3835.1509360793066,5650.559203006689,638924452.9455336,12775395.640649168
54440.96368913142,3716.599846901659,62028102.03178289,53899371.85408344,551606727.9274081,57881934.788521595,64672790.114225894,3706.4300402816434,5499.981444095888,621898206.7314146,12434953.150683897
52852.1198048838,3617.558804128952,60375158.97643594,52463045.58461094,536907350.0592432,56671156.233663835,63203034.196731634,3581.897586842647,5353.416325467929,605325680.9200865,12103582.872040585
51308.91797118923,3521.1570361120935,58766264.03242444,51064994.95883174,522599685.52373326,55485638.42567125,61766411.81826876,3461.4221258452426,5210.756917107687,589194784.6371839,11781043.045771133
49810.05408062671,3427.324210683306,57200243.392758496,49704199.996166684,508673295.8291026,54324855.14884402,60362179.8075076,3344.876158571439,5071.899138502425,573493749.2095062,11467098.355390763
48354.26194195608,3335.991869907047,55675954.53040112,48379667.89677823,495118020.65156585,53188291.13964399,58989611.61080482,3232.1360249381955,4936.7416827074385,558211119.5789075,11161519.7551974
46940.31212248232,3247.0933801349242,54192285.36471099,47090432.31725019,481923970.42262644,52075441.85886143,57647996.92131222,3123.081793917346,4805.185942435203,543335745.9449922,10864084.303166034
45567.01082815809,3160.5638833915455,52748153.450097814,45835552.66556907,469081519.11390924,50985813.26851981,56336641.316353776,3017.59715686885,4677.135938114108,528856775.6305152,10574574.99829611
44233.1988201619,3076.3402500558777,51342505.18629899,44614113.41489333,456581297.21426743,49918921.6134204,55054865.90288777,2915.569323717943,4552.498247864328,514763645.1635586,10292780.622293403
42937.750366720065,2994.3610328035343,49974315.04970057,43425223.43560908,444414184.8940339,48874293.20722983,53802006.97087275,2816.888921907961,4431.181939339676,501046072.5707009,10018495.585470714
41679.57222898859,2914.566421776455,48642584.8451427,42268015.34518581,432571305.3514378,47851464.22301653,52577415.65436232,2721.449898062219,4313.098503385804,487694049.8755645,9751519.776755132
40457.602679835414,2836.898200947223,47346342.97766298,41141644.87535712,421044018.33632594,46849980.48814333,51380457.600155696,2629.1494222893275,4198.16178946627,474697835.7972624,9491658.417692328
39270.81055441065,2761.299705646188,46084643.74364643,40045290.25616492,409823913.8464646,45869397.28342549,50210512.64383606,2539.887795067799,4086.2879428093897,462047948.6434165,9238721.92034133
38118.19433142211,2687.7157812204387,44856566.6408654,38978151.616418004,398902805.99182624,44909279.14646585,49066974.49303211,2453.5683566470875,3977.3953432300286,449735159.39256865,8992525.748956224
36998.78124406917,2616.0927427944334,43661215.69690565,37939450.40012731,388272727.0223823,43969199.679080054,47949250.41774196,2370.097398903393,3871.4045455816913,437750484.9609317,8752890.285353791
